111000094,111/10/21^20,49,36,37,42,11,03
111000095,111/10/25^43,48,32,49,18,36,23
111000096,111/10/28^32,23,25,17,18,19,26
111000097,111/11/01^32,34,17,24,28,40,03
111000098,111/11/04^36,23,21,30,11,47,06
111000099,111/11/08^47,39,37,44,15,18,43
111000100,111/11/11^36,20,10,48,19,02,37
111000101,111/11/15^26,34,29,19,20,39,04
111000102,111/11/18^37,44,10,27,17,45,22
111000103,111/11/22^48,13,05,27,24,18,32
111000104,111/11/25^26,35,14,20,41,15,36
111000105,111/11/29^37,46,49,34,06,21,18
111000106,111/12/02^28,40,45,41,08,22,34
111000107,111/12/06^27,42,15,10,39,32,28
111000108,111/12/09^48,22,40,45,16,10,31
111000109,111/12/13^33,09,47,14,12,06,34
111000110,111/12/16^12,49,40,11,06,47,28
111000111,111/12/20^03,04,29,16,32,12,39
111000112,111/12/23^39,35,32,13,34,09,01
111000113,111/12/27^16,03,11,21,22,39,04
111000114,111/12/30^46,05,08,17,20,14,07
112000001,112/01/03^39,02,08,19,24,04,28
112000002,112/01/06^29,43,22,36,46,19,30
112000102,112/11/10^31,06,11,04,08,02,26
112000101,112/11/07^21,07,47,44,08,41,13
112000100,112/11/03^48,24,20,08,28,40,03
112000099,112/10/31^36,47,18,02,10,42,24
112000098,112/10/27^28,31,22,27,06,15,24
112000097,112/10/24^34,43,49,29,41,07,22
112000096,112/10/20^32,37,40,39,38,44,24
112000095,112/10/17^34,05,12,24,20,13,27
112000094,112/10/13^13,01,09,14,30,28,31
112000103,112/11/14^06,43,38,12,30,15,41
112000104,112/11/17^31,40,15,30,45,34,47
